"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"1","CrossesMnPn",8.93540567748976,3.77665289478491,2.36595893941656,0.0190290141824429,"F1","TAG","female","Both",0.104659578003436," ",0.114174085094657," "
"2","CrossesMnPc",-6.76516855053127,3.61430444715404,-1.8717760635406,0.0628332253730523,"F1","TAG","female","Maternal",0.242128591300761," ",0.250852965003971," "
"3","CrossesMcPn",-8.11155715314756,3.62265184062364,-2.23912137020353,0.0263523712113776,"F1","TAG","female","Paternal",0.137309723680336," ",0.153013768324128," "
"4","CrossesMnPn",0.0583719465787337,3.23179046275435,0.0180617980192272,0.985609230879211,"F2","TAG","female","Both",0.997854907033459," ",0.999818594883818," "
"5","CrossesMnPc",3.96597358740607,3.21598430651072,1.23320676017511,0.21908034739543,"F2","TAG","female","Maternal",0.493882759772595," ",0.572617692489965," "
"6","CrossesMcPn",2.37243252092352,3.23979776058372,0.732277968022323,0.464935738207,"F2","TAG","female","Paternal",0.667921066130077," ",0.763825774088633," "
"7","CrossesMnPn",-1.28992669144404,2.6658797505372,-0.483865294818382,0.628939850580512,"F3","TAG","female","Both",0.808636950746372," ",0.920399781337334," "
"8","CrossesMnPc",-4.96253639368805,2.65960617764749,-1.86589143738475,0.0633240262500033,"F3","TAG","female","Maternal",0.242128591300761," ",0.250852965003971," "
"9","CrossesMcPn",1.50788861354212,2.68354270812523,0.561902223123388,0.574727425739131,"F3","TAG","female","Paternal",0.754091043131303," ",0.861170838136425," "
"10","CrossesMnPn",-1.64324712433176,1.92013693307563,-0.855796842415633,0.393229291443087,"F1","Glycogen","female","Both",0.648516023433948," ",0.745066025892164," "
"11","CrossesMnPc",-7.93289910173013,1.94924351017149,-4.06973221166822,6.99347162370942e-05,"F1","Glycogen","female","Maternal",0.00230784563582411,"**",0.00157353111533462,"**"
"12","CrossesMcPn",-5.58731641059952,1.91158348609,-2.92287334100586,0.0039058511336028,"F1","Glycogen","female","Paternal",0.0351526602024252,"*",0.0351526602024252,"*"
"13","CrossesMnPn",4.10020171518704,1.66340717974632,2.46494169624322,0.0146258644149445,"F2","Glycogen","female","Both",0.0864849753297337,".",0.0921783436116284,"."
"14","CrossesMnPc",6.04444392826524,1.67039089591019,3.61858050296165,0.000383161436436856,"F2","Glycogen","female","Maternal",0.00696850544103414,"**",0.005305312196818,"**"
