"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness","X"
"1","F1","MnPc","NSD","Maternal",1,"male",2.66,5.485599373,11.68020583,19.51258395,2.51,35.45234096,NA,NA
"2","F1","MnPc","NSD","Maternal",2,"male",2.52,4.183037373,10.02409463,29.45628121,2.15,21.90806065,NA,NA
"3","F1","MnPc","NSD","Maternal",3,"male",2.56,8.244929652,12.06935423,21.54316359,2.74,29.41933792,NA,NA
"4","F1","MnPc","NSD","Maternal",4,"male",2.54,7.088986919,15.82626017,18.23602665,2.49,33.56680665,NA,NA
"5","F1","MnPc","NSD","Maternal",5,"male",2.41,6.423269627,8.82413999,15.99839556,2.63,28.55864748,NA,NA
"6","F1","MnPc","NSD","Maternal",6,"male",2.38,6.73273485,9.988628621,12.25145165,2.62,27.35098514,NA,NA
"7","F1","MnPc","NSD","Maternal",7,"male",2.5,7.436586023,12.12369771,19.1769355,2.62,35.415473,NA,NA
"8","F1","MnPc","NSD","Maternal",8,"male",2.72,8.979711608,11.54092629,15.33885675,2.59,35.84653463,NA,NA
"9","F1","MnPc","NSD","Maternal",9,"male",2.47,8.094284188,20.52975195,12.53692607,2.59,31.3280462,NA,NA
"10","F1","MnPc","NSD","Maternal",10,"male",2.64,5.755301901,8.079339067,7.502124098,2.51,24.75186455,NA,NA
"11","F1","MnPc","NSD","Maternal",11,"male",2.67,7.4511563,25.48427977,23.16666736,2.7,61.0910474,NA,NA
"12","F1","MnPc","NSD","Maternal",12,"male",2.71,7.104955849,20.95112225,24.28260647,2.39,43.43759195,NA,NA
"13","F1","MnPc","NSD","Maternal",13,"male",2.61,7.197807622,7.65182448,11.86317711,2.41,60.40033725,NA,NA
"14","F1","MnPc","NSD","Maternal",14,"male",2.57,6.413756357,14.08170908,10.89916881,2.44,72.41051712,NA,NA
"15","F1","MnPc","NSD","Maternal",15,"male",2.69,7.353193229,14.43935996,10.36222627,2.76,42.12108884,NA,NA
"16","F1","MnPc","NSD","Maternal",16,"male",2.43,7.903091939,12.16765459,12.83504212,2.56,47.54446026,NA,NA
"17","F1","MnPc","NSD","Maternal",17,"male",2.65,8.945430247,16.9632577,20.5799776,2.36,26.56485349,NA,NA
"18","F1","MnPc","NSD","Maternal",18,"male",2.51,8.605446081,17.5139569,10.35071221,2.58,56.14432376,NA,NA
"19","F1","MnPc","NSD","Maternal",19,"male",2.43,7.452333743,15.62332415,10.71687569,2.65,78.74848599,NA,NA
"20","F1","MnPc","NSD","Maternal",20,"male",2.56,15.30463961,22.42636655,19.43410684,2.57,28.50596682,NA,NA
